DEBUG 2026-07-11 02:24:51,499 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\asyncio\log.py first seen with mtime 1744097212.0
DEBUG 2026-07-11 02:24:51,500 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\fnmatch.py first seen with mtime 1744097212.0
DEBUG 2026-07-11 02:24:51,500 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1780865380.0514321
DEBUG 2026-07-11 02:24:51,500 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\_multiarray_umath.cp312-win_amd64.pyd first seen with mtime 1782378403.5738451
DEBUG 2026-07-11 02:24:51,500 autoreload 13996 22792 File C:\projects\NyaySaathi\backend\api\nlp\semantic_engine.py first seen with mtime 1783716721.3949313
DEBUG 2026-07-11 02:24:51,501 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\charset_normalizer\md__mypyc.cp312-win_amd64.pyd first seen with mtime 1782847682.5639923
DEBUG 2026-07-11 02:24:51,501 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\ufunclike.py first seen with mtime 1782378403.8021276
DEBUG 2026-07-11 02:24:51,501 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\quopri.py first seen with mtime 1744097212.0
DEBUG 2026-07-11 02:24:51,501 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1783716773.3023312
DEBUG 2026-07-11 02:24:51,501 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\forms\utils.py first seen with mtime 1783716773.4061296
DEBUG 2026-07-11 02:24:51,502 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\http\cookies.py first seen with mtime 1744097212.0
DEBUG 2026-07-11 02:24:51,502 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\exceptions.py first seen with mtime 1783716796.4696026
DEBUG 2026-07-11 02:24:51,502 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\jinja2\filters.py first seen with mtime 1780865530.5790572
DEBUG 2026-07-11 02:24:51,502 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygments\util.py first seen with mtime 1782847642.4429152
DEBUG 2026-07-11 02:24:51,502 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\templatetags\__init__.py first seen with mtime 1783716796.5693572
DEBUG 2026-07-11 02:24:51,502 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1783716772.2376997
DEBUG 2026-07-11 02:24:51,502 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\keyword.py first seen with mtime 1744097212.0
DEBUG 2026-07-11 02:24:51,503 autoreload 13996 22792 File C:\Users\aryan\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1783716773.487401
